"型号品名";"规格";"加工要求";"单位";"进货价";"销售价";"类别";"品牌";"goodsID"
"MCK5-060独立筒乳胶床垫";"150*200*16";;"张";"4677.00";"14680.00";"床垫";"慕思.凯奇";"3804"
"MCK1-001护脊连体弹簧单面加2CM床垫";"180*198*22";;"张";"0.00";"5212.00";"床垫";"慕思.凯奇";"7313"
"MCK1-051标准弹簧床垫";"150*167*13";;"张";"0.00";"3653.00";"床垫";"慕思.凯奇";"7591"
"MCK1-001护脊连体弹簧床垫";"150*200*27";;"张";"1796.34";"4271.00";"床垫";"慕思.凯奇";"3160"
"MCK1-001A全3D椰维康床垫";"120*200*8";;"张";"1239.00";"3523.00";"床垫";"慕思.凯奇";"858"
"MCK3-053床垫";"150*200*14";;"张";"0.00";"3885.00";"床垫";"慕思.凯奇";"6329"
"KB-8B床垫";"180*200*16";;"张";"0.00";"0.00";"床垫";"慕思.凯奇";"4761"
"MCK1-001护脊连体弹簧床垫";"180*200*18";;"张";"0.00";"4018.00";"床垫";"慕思.凯奇";"5289"
"MCK3-029七区乳胶独立筒弹簧床垫";"180*200*25";"晋江摆场";"张";"2215.78";"8378.00";"床垫";"慕思.凯奇";"2730"
"MCK1-002床垫";"90*200*22";"停产";"张";"972.00";"3360.00";"床垫";"慕思.凯奇";"3135"
"MCK1-001A全3D椰维康床垫";"132*200*5";;"张";"0.00";"3078.00";"床垫";"慕思.凯奇";"6927"
"MCK6-001凝胶床垫";"200*220*24";;"张";"16125.00";"47956.00";"床垫";"慕思.凯奇";"7903"
"旧款床垫";"90*200";;"张";"0.00";"0.00";"床垫";"慕思.凯奇";"5032"
"MCK3-003独立筒弹簧床垫";"180*200*22";"晋江摆场";"张";"2526.87";"9148.00";"床垫";"慕思.凯奇";"2732"
"MCK5-039乳胶超微独立筒床垫";"180*200*23";;"张";"3038.00";"10739.00";"床垫";"慕思.凯奇";"2731"
"MCK1-001护脊连体弹簧单面加2CM床垫";"180*200*22";;"张";"1597.32";"5215.00";"床垫";"慕思.凯奇";"2812"
"MCK1-051标准弹簧床垫";"150*200*19";;"张";"0.00";"3655.00";"床垫";"慕思.凯奇";"6932"
"MCK1-001护脊连体弹簧床垫";"180*200*25";;"张";"1534.00";"4710.00";"床垫";"慕思.凯奇";"1710"
"MCK3-007床垫";"180*200*26";;"张";"0.00";"0.00";"床垫";"慕思.凯奇";"8522"
"MCK1-020清透棉连体弹簧床垫";"200*200*23";;"张";"2836.00";"9801.00";"床垫";"慕思.凯奇";"827"
"MCK1-051标准弹簧床垫";"180*200*19";;"张";"0.00";"4298.00";"床垫";"慕思.凯奇";"8002"
"MCK1-001护脊连体弹簧床垫";"195*245*14";"做折叠";"张";"1767.92";"5955.00";"床垫";"慕思.凯奇";"3764"
"MCK3-026独立筒弹簧床垫";"118*197*19";;"张";"0.00";"4536.00";"床垫";"慕思.凯奇";"3922"
"MCK1-001A全3D椰维康床垫";"50*137*8";;"张";"0.00";"2389.00";"床垫";"慕思.凯奇";"6231"
"MCK3-053床垫";"120*190*18";;"张";"0.00";"3198.00";"床垫";"慕思.凯奇";"8364"
"MCK3-031床垫";"150*200*5";;"张";"0.00";"6173.00";"床垫";"慕思.凯奇";"6868"
"MCK1-001护脊连体弹簧床垫";"150*248*12";;"张";"0.00";"4422.00";"床垫";"慕思.凯奇";"7020"
"MCK3-038独立筒弹簧床垫";"180*200*22";;"张";"0.00";"5712.00";"床垫";"慕思.凯奇";"3855"
"MCK2-031薄款乳胶床垫";"120*190*5";;"张";"0.00";"5083.00";"床垫";"慕思.凯奇";"8098"
"MCK1-001A全3D椰维康床垫";"150*190*8";;"张";"0.00";"4062.00";"床垫";"慕思.凯奇";"8281"
"MCK1-051标准弹簧床垫";"150*200*23";;"张";"1312.00";"3655.00";"床垫";"慕思.凯奇";"4592"
"MCK4-011进口七区纯乳胶床垫";"90*200*20";;"张";"3961.00";"13036.00";"床垫";"慕思.凯奇";"820"
"MCK1-009圆形护脊连体弹簧床垫";"D=210*27";;"张";"2555.00";"8413.00";"床垫";"慕思.凯奇";"849"
"MCK3-053床垫";"180*210*22";;"张";"0.00";"5254.00";"床垫";"慕思.凯奇";"5417"
"MCK3-023乳胶独立筒弹簧床垫";"180*200*24";"居然摆场";"张";"3141.00";"11705.00";"床垫";"慕思.凯奇";"2373"
"MCK1-001A全3D椰维康床垫";"148*220*8";;"张";"0.00";"5227.00";"床垫";"慕思.凯奇";"4010"
"MCK3-053床垫";"200*220*28";;"张";"0.00";"6831.00";"床垫";"慕思.凯奇";"7328"
"MCK1-001护脊连体弹簧床垫";"180*200*28";;"张";"0.00";"4620.00";"床垫";"慕思.凯奇";"5896"
"MCK5-030乳胶双层独立筒弹簧床垫";"200*220*28";;"张";"7133.42";"33085.00";"床垫";"慕思.凯奇";"3493"
"MCK3-052大独立筒弹簧床垫";"200*220*25";;"张";"3368.00";"10311.00";"床垫";"慕思.凯奇";"5847"
